카테고리	키워드	분류	키워드	분류	키워드	분류	키워드	분류	키워드		A = antonym	E = equal	S = sub keyword	R = related	N = disable	@ = 출력키워드	NE = 검토중인 E	NS = 검토중인 S	NR = 검토중인 R						
출처/제작사																									
	@소설원작	E	소설의영화화																						
		S	한국소설원작																						
		S	미국소설원작																						
		S	일본소설원작																						
		S	영국소설원작																						
		S	핀란드소설원작																						
		S	프랑스소설원작																						
		S	캐나다소설원작																						
		S	대만소설원작																						
		S	고전소설원작	E	고전의재해석																				
		S	단편소설원작																						
		S	@인터넷소설	E	PC통신연재소설원작																				
				E	인터넷소설원작																				
	@만화원작	S	미국만화원작																						
		S	한국만화원작																						
		S	일본만화원작																						
		S	@웹툰원작	E	인터넷만화원작																				
		S	애니메이션원작																						
		S	그래픽노블원작	S	@마블코믹스																				
				S	@DC코믹스	E	디씨코믹스																		
						E	DC Comics																		
		S	원작만화책																						
		S	만화극장판																						
	영화원작	E	리메이크																						
		E	remake																						
		E	리메이크영화들																						
		E	리메이크실패작																						
	@TV원작	E	TV시리즈원작																						
		S	TV드라마원작	S	드라마원작																				
				S	미국TV드라마원작																				
				S	일본드라마원작																				
		S	TV다큐멘터리원작																						
	@희곡원작	S	영국희곡원작																						
	@동화원작	E	그림책원작																						
		S	헨젤과 그레텔																						
		S	이상한 나라의 앨리스																						
		S	별주부전																						
	@연극원작																								
	@게임원작	E	게임영화화																						
	@뮤지컬원작	N	뮤지컬																						
		N	neg_뮤지컬음악																						
		N	뮤지컬 영화																						
		N	neg_독립_뮤지컬																						
		N	neg_단편_뮤지컬																						
		N	neg_뮤지컬_애니메이션																						
		N	neg_뮤지컬_어린이																						
		N	neg_가족_뮤지컬																						
	@실화바탕	E	실화소재																						
		E	실화원작																						
		E	실화의영화화																						
		E	실화영화																						
		E	실화드라마																						
		E	감동실화																						
		E	실화원작																						
		N	실재																						
		N	실화																						
	@역사바탕	N	무비역사상																						
		N	역사																						
		N	역사성																						
		N	역사적																						
		N	역사관																						
		E	역사물																						
		E	역사극																						
	디즈니																								
세부형식/세부장르																									
	_어린이/가족	E	neg_가족_어린이																						
		S	가족영화																						
		S	어린이영화																						
	_로맨스	E	neg_로맨스																						
		S	neg_드라마_로맨스																						
		S	neg_로맨스_코미디																						
		S	neg_로맨스_뮤지컬																						
		S	neg_로맨스_애니메이션																						
		S	neg_로맨스_판타지																						
		S	하이틴로맨스																						
	@_코미디	E	neg_코미디																						
		E	코미디영화																						
		E	코메디																						
	_액션/모험	N	neg_액션																						
		N	neg_모험																						
		N	neg_모험_액션																						
		S	액션영화																						
		S	액션무비																						
		N	neg_스릴러_액션																						
		N	neg_액션_판타지																						
		S	모험																						
	_스릴러	E	neg_스릴러																						
		E	서스펜스																						
	@_공포영화	E	neg_공포																						
		E	공포영화																						
		E	공포장르																						
		E	공포영화장르																						
		S	공포스릴러영화																						
		S	neg_공포_단편																						
		S	neg_공포_독립																						
		S	일본공포영화																						
		S	웰메이드공포영화																						
		S	공포동화																						
		S	neg_공포_애니메이션																						
		S	neg_공포_로맨스																						
		S	neg_공포_판타지																						
		S	neg_공포_모험																						
		S	neg_공포_액션																						
		S	neg_공포_드라마																						
		S	neg_공포_코미디																						
		S	neg_공포_심령																						
		S	서양공포																						
		N	공포요소	N	심리공포																				
				N	고소공포증																				
				N	폐소공포																				
	@_다큐멘터리	E	다큐																						
		E	neg_다큐멘터리																						
		S	neg_다큐멘터리_뮤지컬																						
		S	neg_다큐멘터리_댄스																						
		S	neg_다큐멘터리_음악																						
		S	neg_다큐멘터리_드라마																						
		S	neg_다큐멘터리_코미디																						
		S	neg_공포_다큐멘터리																						
		S	neg_다큐멘터리_모험																						
		S	neg_다큐멘터리_로맨스																						
		S	neg_다큐멘터리_액션																						
		S	neg_다큐멘터리_스릴러																						
		S	neg_다큐멘터리_스포츠																						
		S	neg_다큐멘터리_종교																						
		S	neg_다큐멘터리_심령																						
		S	리얼다큐멘터리																						
	_종료/심령																								
	@_독립/단편	E	neg_단편_독립																						
	@_애니메이션	E	neg_애니메이션																						
	@리메이크	E	영화원작																						
		E	remake																						
		E	리메이크영화들																						
		E	리메이크실패작																						
		S	홍콩영화원작																						
	시리즈	S	속편																						
		S	@프리퀄																						
	@뮤지컬	E	뮤지컬형식																						
	@블록버스터	S	액션대작																						
		S	sf대작																						
		S	판타지대작																						
		N	한국영화대작																						
		N	대작																						
	@오컬트	S	초자연																						
		S	초현실																						
		N	신비함	N	신비성																				
	@옴니버스	S	옴니버스영화	S	한일청춘옴니버스																				
		S	옴니버스애니메이션																						
	@흑백영화																								
	@무성영화	N	무음																						
		N	음소거																						
	@컬트영화	E	컬트무비																						
	@패러디영화	N	패러디																						
	@합작영화	S	한일합작																						
	@블랙코미디	E	블랙코메디																						
		E	블랙유머																						
		E	블랙코미디영화																						
		E	블랙코미디느낌																						
	@요리영화	N	요리																						
	@퀴어무비	E	퀴어영화																						
		E	퀴어물																						
	@버디무비																								
	@종교영화	S	스릴러종교																						
		S	공포종교																						
		S	종교코미디																						
		S	로맨스종교																						
		S	심령종교																						
	@로드무비																								
	@재난영화																								
	@청춘영화	E	청춘이야기																						
		S	청춘멜로	N	청춘남녀																				
	@인권영화																								
	@음악영화	N	영화음악																						
	@판타지영화	E	환타지영화																						
		S	모험판타지																						
		S	무협판타지																						
		S	판타지로맨스영화																						
		S	판타지액션영화																						
		N	neg_애니메이션판타지																						
		N	neg_드라마판타지																						
		N	neg_스릴러판타지																						
		N	neg_코미디판타지																						
		N	neg_어린이판타지																						
		N	neg_가족판타지																						
		N	neg_공포판타지																						
		N	neg_로맨스판타지																						
		N	neg_sf판타지																						
		S	판타지영화명작																						
		S	판타지명작																						
		S	판타지대작																						
		S	판타지스토리																						
		S	판타지무비																						
		S	판타지시리즈																						
	@액션영화	E	액션무비																						
	@반전영화	N	반전																						
		S	반전스릴러																						
	@전쟁영화																								
	@성장영화	E	성장드라마																						
		N	성장과정																						
	@반공영화																								
	@어린이영화	E	어린이용																						
		S	어린이교육용																						
	@가족영화	E	가족이야기																						
		S	코미디가족영화																						
		S	neg_가족애니메이션																						
		S	neg_가족_스릴러																						
		S	가족오락영화																						
	@전기영화																								
	@첩보영화	E	첩보물																						
		S	첩보스릴러																						
		S	첩보액션																						
	@러브스토리	E	사랑이야기																						
	@하드보일드																								
	@킬링타임용	E	킬링타임영화																						
		E	킬링타임																						
		E	킬링타임무비																						
	@페미니즘																								
	@서부극	E	서부판																						
		S	정통서부극																						
		S	퓨전서부극																						
	@시대극	E	사극																						
		N	시대배경	N	조선시대																				
				N	로마시대																				
				N	삼국시대																				
				N	일제시대																				
				N	중세시대																				
		N	시대영화들																						
	@심리극	S	심리스릴러																						
	@치정극	S	치정사건																						
		S	@치정살인																						
	@1인2역																								
	@영화제수상	E	영화제수상작																						
		E	영화제 상영작																						
		N	국제영화제																						
		N	베를린영화제	E	배를린영화제																				
		N	깐느영화제																						
		N	서울독립영화제																						
		N	부산국제영화제																						
	@슬랩스틱																								
	@스너프영화	E	스너프필름																						
	애니메이션	S	옴니버스애니메이션	N	옴니버스영화																				
		S	@실사애니	E	부분애니메이션																				
				E	실사+애니메이션																				
		S	컴퓨터 애니메이션																						
	다큐멘터리	S	@페이크다큐	E	페이크다큐멘터리		페이크다큐영화																		
				E	다큐멘터리+극영화																				
		S	인터뷰다큐멘터리																						
		S	자전적다큐멘터리																						
		S	@자연다큐	N	동식물																				
				N	생물																				
		S	막장 다큐멘터리																						
		S	다큐드라마																						
		S	@다큐형식	E	다큐멘터리형식																				
		S	neg_다큐멘터리_댄스																						
		S	neg_다큐멘터리_뮤지컬																						
		S	neg_다큐멘터리_음악																						
		S	neg_다큐멘터리_드라마																						
		S	neg_다큐멘터리_코미디																						
		S	neg_다큐멘터리_모험																						
		S	neg_다큐멘터리_단편																						
		S	neg_다큐멘터리_독립																						
		S	neg_다큐멘터리_종교																						
		S	neg_다큐멘터리_스포츠																						
		S	neg_다큐멘터리_심령																						
	@독립영화	E	인디영화	N	인디																				
		E	단편독립																						
		S	다큐멘터리독립																						
		N	독립영화한편																						
	@저예산영화																								
	@단편영화	S	단편로맨스																						
		S	단편스릴러																						
	@예술영화	N	예술작																						
		N	영화예술성	N	예술영화인																				
		N	예술적																						
		N	예술성																						
	공포영화	E	호러영화																						
		S	@십대호러																						
		S	@스플래터	S	슬래셔																				
				N	고어																				
	@해피엔딩																								
	@새드엔딩																								
	에로영화	E	성인영화																						
	@스릴러	E	서스펜스																						
		S	서스펜스스릴러																						
	@SF영화	E	공상과학영화																						
		E	SF시리즈																						
	@어린이영화																								
	@법정물																								
	@정치물																								
	@막장																								
배경>시간/시대/사건																									
	@삼국시대	S	백제																						
		S	고구려																						
		S	신라																						
	@고려시대																								
	@조선시대	E	이조시대																						
		S	조선왕조																						
	@일제시대	E	일제강점기																						
		E	일제치하																						
		S	@독립운동																						
		S	위안부																						
	@냉전시대																								
	@중세시대	S	중세유럽																						
	@고대로마																								
	@고대그리스																								
	@에도시대																								
	@크리스마스	S	크리스마스이브																						
	@부활절																								
	@발렌타인	E	발렌타인데이																						
	@4.19혁명																								
	@제주항쟁	E	제주도항쟁																						
		E	43항쟁																						
		E	4.3항쟁																						
	@6.25전쟁	E	육이오전쟁																						
		E	한국전쟁	N	한국전쟁영화																				
		E	625																						
		E	6.25																						
		N	남북전쟁																						
	@베트남전쟁	E	베트남전																						
		E	월남전																						
	@태평양전쟁	E	태평양전투																						
	@이라크전쟁	E	이라크전																						
	@병자호란																								
	@임진왜란																								
	@명량해전																								
	세계대전	N	1차세계대전	E	제1차세계대전																				
		N	2차세계대전	E	제제2차세계대전																				
				E	제2차세계대전																				
		N	제3차세계대전																						
	@프랑스혁명																								
	@68혁명																								
	@1920년대																								
	@1930년대	S	1930년대후반																						
	@1940년대																								
	@1950년대																								
	@1960년대																								
	@1970년대																								
	@1980년대																								
	@1990년대																								
배경>지명																									
	남아메리카	S	@아르헨티나	S	부에노스아이레스																				
		S	@쿠바																						
		S	@자메이카																						
	북아메리카	S	미국	S	@뉴욕	E	뉴욕시																		
						S	@맨하탄	E	맨해튼																
								S	@월스트리스																
								N	엠파이어스테이트																
								N	자유의여신상																
								N	할렘가																
								N	센트럴파크																
								N	소호																
						N	뉴요커																		
																									
				S	@라스베가스	E	라스베거스																		
				S	샌프란시스코																				
				S	텍사스																				
				S	@알래스카	E	알라스카																		
				S	센트럴파크																				
				S	@시카고																				
				S	플로리다																				
				S	@하와이																				
				S	보스턴																				
				S	@브로드웨이																				
				S	@마이애미																				
				N	헐리우드	E	헐리웃																		
						E	할리우드																		
				S	@캘리포니아																				
				S	미시시피																				
				S	@LA	E	로스앤젤레스																		
				S	@시애틀																				
				S	네바다																				
				S	뉴멕시코																				
		S	@캐나다	S	몬트리올																				
		S	@멕시코																						
		S	@브라질																						
		S	@우루과이																						
	아프리카	S	@남아공	E	남아프리카공화국																				
				S	요하네스버그																				
		S	@모로코																						
		S	@이집트																						
		S	@케냐																						
		S	@알제리																						
		S	@자메이카																						
		S	@아마존																						
	유럽	E	유럽연합																						
		S	@영국	S	@런던																				
				S	리버풀																				
		S	@스코틀랜드																						
		N	아일랜드	S	더블린																				
		S	@이탈리아	S	베니스																				
				S	밀라노																				
		S	@벨기에																						
		S	@프랑스	S	@파리	N	에펠탑																		
				S	에펠탑																				
				S	루브르박물관																				
		S	@아이슬란드																						
		S	@그리스																						
		S	@독일	S	@베를린																				
				S	함부르크																				
				S	동베를린																				
				S	동독																				
				S	서독																				
		S	@스웨덴	S	바르셀로나																				
		S	@핀란드																						
		S	@덴마크																						
		S	@스페인	S	스페인골목																				
		S	@러시아	S	모스크바																				
				S	시베리아																				
		S	@소련																						
		S	@세르비아																						
		S	@루마니아																						
		S	@폴란드																						
		S	발칸반도																						
		S	@체코	S	프라하																				
		S	@지중해																						
		S	@오스트리아	S	비엔나																				
		S	@헝가리	S	부다페스트																				
		S	@알프스																						
		S	@스파르타																						
	아시아	S	@터키	S	이스탄불																				
		S	@우즈벡	E	우즈베키스탄																				
		S	@우크라이나																						
